Actual,Predicted
25.2,27.272101281236143
14.4,8.229375407241186
23.9,27.894457681626847
19.1,19.695262613560676
22.3,27.381762823115356
16.4,19.24021960950836
27.0,32.471646860805464
12.6,18.16291490793082
23.3,26.35734029393955
22.6,23.963509321806395
8.3,10.265583834524737
14.9,17.36287719444393
50.0,25.23322089544587
23.7,27.475584956053115
20.9,21.93250791427784
11.5,14.103532357052018
22.0,27.456070977003225
50.0,33.98167261945141
48.8,41.18814234264688
27.5,20.12555310276241
33.0,22.991663090151228
33.8,34.88109758243176
37.6,37.673278367601625
23.8,27.193372312125675
14.5,18.60715546185822
16.1,18.570746991068212
25.0,28.889065410947236
23.2,22.517661047380237
21.4,20.406771649639147
23.2,17.24371911036502
16.7,20.473700343578923
8.4,14.892870694380761
24.4,24.111280821314075
22.0,27.211313287221195
19.4,25.790392484519867
21.8,20.513205994520593
13.9,13.126315127476083
13.4,13.52873277758578
19.4,19.47934364542075
21.2,22.368968872835943
15.6,12.234429090818448
5.0,6.194808241636949
36.2,27.62959358547958
13.9,17.608334604273388
23.7,27.399361373949148
20.1,23.624351120156177
20.7,24.4341186759201
27.1,19.26656444955152
33.2,32.04766596948092
19.3,15.468581902201905
17.7,20.23105825958759
18.6,16.768769285102813
20.6,16.65724134255137
17.8,22.50927885768431
13.8,5.55571215215317
16.0,18.223546655646626
13.8,12.379984296201467
15.6,16.581262144621004
18.4,16.178831774471774
18.0,19.3474256782417
18.6,20.12674335597795
24.7,25.080107965170907
28.6,28.783142078062845
10.9,14.802172363545044
29.0,32.21432624803295
37.9,33.78471456763042
28.4,28.468496476815922
25.0,27.69453111132439
21.0,22.890695732003167
33.4,28.37491172780801
19.1,16.98470788955479
14.1,17.485535056216463
14.5,13.316573969705068
28.4,30.663242259179057
31.2,28.753907579168917
15.2,19.431788070221465
18.9,21.509029671193808
23.7,10.463566946488019
22.5,17.611786015769994
20.8,18.495872751627566
20.4,20.26610444558761
23.8,23.915778988046586
19.4,16.80775214519324
21.2,21.160337476225582
20.3,22.549186433677495
36.2,27.470693320757274
13.3,16.01205966503634
22.9,29.512180421029065
15.4,15.12025016614379
30.3,33.04253567159622
18.4,19.295202199220512
20.1,21.25994283396847
33.2,34.70727943898677
37.0,30.9360740438778
13.1,14.510256906656018
22.8,28.866600687254802
35.1,35.37799069635363
16.7,19.80805536303982
34.7,30.6359334741882
18.4,18.757911664794094
21.4,23.23872285132273
22.1,27.041075225710415
